latitude1,longitude1,supervision_level,states,lgas,ward,settlement name,hf_name,latitude2,longitude2,meta/instanceID
6.5938897,4.7433333,temporary_post,Ondo,Okitipupa,Ode-Aye 1,Akingbemila,CHC Ode-Aye 1,6.5939559,4.7433617,uuid:149af404-8dc6-4dab-82a7-ecc755ac45b3
7.3137723,4.8860978,temporary_post,Ondo,Ile Oluji/Okeigbo,Ileoluji 6,Oke D.O,NA,7.3137623,4.8860297,uuid:011481e5-f9f4-4ca3-aceb-25565118135c
7.3122731,4.8868356,temporary_post,Ondo,Ile Oluji/Okeigbo,Ileoluji 6, Isale oja,NA,7.3123835,4.8867171,uuid:ca3346df-b338-453a-8ca4-f5071a841e4f
4.698078333,8.017105,temporary_post,Akwa Ibom,Nsit Ubium,Ubium South 2,Ikot Okpu Udo,PHC,4.698073333,8.017045,uuid:2a498eb1-108a-4b36-99ed-1fe94c355e36
4.705941667,8.003296667,temporary_post,Akwa Ibom,Nsit Ubium,Ubium South 3,Ikot Umo,None,4.706056667,8.003286667,uuid:81699695-bdd0-4925-b868-92f0bc7b0c8c
7.1549331,4.7405048,temporary_post,Ondo,Ile Oluji/Okeigbo,Okeigbo  2,Alabere,BHC OLORUNTELE,7.1531747,4.7456935,uuid:14bae3b4-4bf5-4332-8d8a-e407e63960c7
6.1737633,6.6243076,temporary_post,Delta,Oshimili North,umuezeagwu,Idumiseke,NA,6.1738544,6.6242792,uuid:da86b610-5e66-425a-9191-653b10274606
5.999721667,8.315206667,temporary_post,Cross River,Obubra,Apiapum,Apiapum Technical school,H/C Obubra Junction,5.999755,8.315211667,uuid:73fb4e0f-9fbc-4f8f-9599-75056d0e7bce
7.7945734,5.4866021,temporary_post,Ekiti,Ikole,Asin Ward,Igbona,Temporary fixed post igbona,7.7945734,5.4866021,uuid:6c2c18bd-6e5f-4e6f-b228-8702be4546e0
6.1941009,7.0372422,temporary_post,Anambra,Awka South,Awka 7,Itukuani,Umuokpu phc,6.1941009,7.0372422,uuid:7b344aa1-8299-47ad-9e53-6a3ff392fa74
6.4714619,8.5230478,temporary_post,Cross River,Yala,Ebo/Yahe,Ochiakpa,Health Center Yahe,6.4713164,8.5230412,uuid:de883ba3-7413-4588-a94a-d77924b40611
6.4169745,8.476416,temporary_post,Cross River,Yala,Yahe,Wanudu,Igiraga PHC,6.4170102,8.4763421,uuid:03e48ccc-210d-4427-a2af-0f1482051332
6.4988348,8.5217466,temporary_post,Cross River,Yala,Ebo Yahe,Woleche Okpenehi,Okpenehi HC,6.4985866,8.5214333,uuid:8be05930-c9fe-4851-a544-2e4c6fd2ab0b
4.752239411,8.159291559,temporary_post,Akwa Ibom,Urue Offong/Oruko,Urue Offong 3,Ekaoyubia,Health Oyubia,4.752288622,8.159425379,uuid:fbc9072d-93ec-4c87-9330-48f8913ca280
4.746163846,8.138672149,temporary_post,Akwa Ibom,Urue Offong/Oruko,Urue Offong 5,Udung Oko,Model PHC Okossi,4.746232548,8.138671634,uuid:3ea7400f-ec30-474c-8a94-871b132f367a
4.730971028,8.124749455,temporary_post,Akwa Ibom,Urue Offong/Oruko,Urue Offong 5,Udung Anwana,Model PHC Okossi,4.730984068,8.124790095,uuid:5cf0974a-11c3-47d0-8784-6dc6e8b1fe43
6.330617,5.6336983,temporary_post,Edo,Oredo,New Benin,Ewah road,ERNOSA health post,6.3498629,5.6357748,uuid:c69c2ff8-3c41-41d3-99ea-cdcdba0ef3cf
6.3612424,5.6374976,temporary_post,Edo,Oredo,New Benin,Ewah road,ERNOSA health post,6.3498629,5.6357748,uuid:d61ce863-01ef-4bc2-a046-e9dcba7051b3
6.8875872,6.3452368,temporary_post,Edo,Etsako West,Awain,Ewora,Phc ewora,6.9007983,6.3923083,uuid:760c2444-c9bb-4f97-8bba-9a494fa09322
5.5721609,7.3736475,temporary_post,Imo,Obowo,Umulogho umuagu,umuokpa,umulogho health  center,5.5721843,7.3736111,uuid:f474bfad-803b-4d89-b034-193fbadc078e
7.8976952,4.7039909,temporary_post,Osun,Boripe,Ward 5,ile jagun,Nil,7.8997779,4.6997892,uuid:46bcd5a2-b17c-4a8f-a634-b3adb68ac4ac
7.3673504,6.0799998,temporary_post,Edo,Akoko-Edo,Ayegunle,Ugboshi Afe,PHC Ugboshi Afe,7.3555533,6.0578265,uuid:9af393cf-c7a2-4301-af95-b77f3ba1c10a
7.3555533,6.0578265,temporary_post,Edo,Akoko-Edo,Ayegunle,Ayegunle,PHC Ayegunle,7.3555533,6.0578265,uuid:82561d56-79d0-4323-9054-384820e5d076
6.264266667,6.311923333,temporary_post,Delta,Ika North East,Umunede,Oba quarters,Phc umunede,6.264311667,6.3119,uuid:326be847-8de6-4d49-9780-e240441657e1
7.8978816,4.656821,temporary_post,Osun,Ifelodun,Aludundun,Oko oye Area,PHC Owode idi ose,7.9005888,4.6574669,uuid:deae5288-4bf4-40e7-8e80-19b6a1a8ee03
7.9209627,4.6501356,temporary_post,Osun,Ifelodun,Isile ikirun,Maboreje,Akinorun PHC,7.9209627,4.6501356,uuid:48b3234f-fcc8-46ce-9f59-2a3621e650a6
7.904357,4.6653691,temporary_post,Osun,Ifelodun,Aludundun,Okoye,Owodeidioti PHC,7.9042098,4.6656049,uuid:b1a10567-a4ae-4ad7-a0b9-907df663f5d4
7.9192711,4.654723,temporary_post,Osun,Ifelodun,IsaleIkirun,Maboreje,AkinOrun PHC,7.9193173,4.6547195,uuid:b42f198c-74d1-4474-a9f9-67cb52817d6f
7.055108333,6.251373333,temporary_post,Edo,Etsako West,Auchi 1,Warake rd Auchi college road,Unique hospital,7.05511,6.251385,uuid:d8ff490a-1a8b-4333-ad4d-79ef4591a149
